z (cm),U_ut (-mV),x_serie
0.0,31.1,Serie 1
5.0,30.1,Serie 1
10.0,22.1,Serie 1
15.0,14.3,Serie 1
20.0,8.6,Serie 1
25.0,5.0,Serie 1
30.0,2.8,Serie 1
35.0,1.6,Serie 1
40.0,0.9,Serie 1
0.0,31.2,Serie 2
5.0,30.3,Serie 2
10.0,21.8,Serie 2
15.0,14.0,Serie 2
20.0,8.5,Serie 2
25.0,5.1,Serie 2
30.0,2.9,Serie 2
35.0,1.6,Serie 2
40.0,0.9,Serie 2
0.0,32.5,Serie 3
5.0,31.5,Serie 3
10.0,22.0,Serie 3
15.0,13.3,Serie 3
20.0,8.2,Serie 3
25.0,4.8,Serie 3
30.0,2.7,Serie 3
35.0,1.6,Serie 3
40.0,0.9,Serie 3
0.0,34.6,Serie 4
5.0,32.6,Serie 4
10.0,21.7,Serie 4
15.0,13.2,Serie 4
20.0,7.7,Serie 4
25.0,4.7,Serie 4
30.0,2.8,Serie 4
35.0,1.6,Serie 4
40.0,0.9,Serie 4
0.0,37.7,Serie 5
5.0,37.0,Serie 5
10.0,22.2,Serie 5
15.0,12.8,Serie 5
20.0,7.5,Serie 5
25.0,4.5,Serie 5
30.0,2.7,Serie 5
35.0,1.6,Serie 5
40.0,0.9,Serie 5
0.0,43.5,Serie 6
5.0,42.1,Serie 6
10.0,21.4,Serie 6
15.0,11.5,Serie 6
20.0,6.9,Serie 6
25.0,4.2,Serie 6
30.0,2.6,Serie 6
35.0,1.5,Serie 6
40.0,0.9,Serie 6
0.0,52.0,Serie 7
5.0,47.3,Serie 7
10.0,18.8,Serie 7
15.0,10.0,Serie 7
20.0,6.0,Serie 7
25.0,3.8,Serie 7
30.0,2.4,Serie 7
35.0,1.5,Serie 7
40.0,0.9,Serie 7
